HOST	P50	STD_DEV	P90	FREQ
www.google-analytics.com	48	980.7368837	367	122873937
www.facebook.com	63	846.3884191	364	71248967
connect.facebook.net	29	1040.098686	446	70521241
assets.adobedtm.com	33	1139.5284	525	65822580
www.google.com	97	831.5593739	378	56156036
googleads.g.doubleclick.net	108	1062.033916	605	54033021
www.googletagmanager.com	53	1376.651972	620	51515849
tags.tiqcdn.com	38	778.4447615	308	40396451
pixall.esm1.net	119	928.4234302	454	31643193
bat.bing.com	60	1141.307754	472	25254165
s.btstatic.com	6	485.589071	81	24052098
securepubads.g.doubleclick.net	147	1225.229792	946	23988546
www.googleadservices.com	41	1040.48764	517	23583007
ct.pinterest.com	138	932.4486834	569	11945013
stats.g.doubleclick.net	111	857.7648465	543	11374572
fonts.gstatic.com	58	1066.541262	718	10938292
translate.googleapis.com	22	745.7834256	265	10168185
www.googletagservices.com	39	1166.837572	580	10152962
tpc.googlesyndication.com	50	1328.734827	712	9861337
nexus.ensighten.com	59	908.8381204	435	9848813
s7d5.scene7.com	168	1652.486134	1144	9812460
pubads.g.doubleclick.net	112	1256.244534	775	9546235
fonts.googleapis.com	60	877.6863133	541	9485577
network.bazaarvoice.com	98	764.3956899	488	8787645
image.s5a.com	233	1565.570821	1129	8524110
cdn.ampproject.org	66	1642.944802	945	8396834
maps.googleapis.com	76	1142.388207	562	8156658
dpm.demdex.net	199	996.2234332	806	8154177
async-px.dynamicyield.com	126	796.367723	626	8059953
sb.scorecardresearch.com	78	1610.92651	993	8021542
c.amazon-adsystem.com	206	1237.234425	742	7731602
s.pinimg.com	20	1043.525083	494	6963150
cdn.krxd.net	29	1014.085103	468	6469484
logx.optimizely.com	206	1165.047796	972	6173408
adservice.google.com	143	1123.021272	701	6161753
trc.taboola.com	100	1292.977443	669	6047901
adserver-us.adtech.advertising.com	413	1720.66743	1346	5986499
static.criteo.net	40	1547.38008	956	5796612
st.mngbcn.com	126	1231.517278	790	5793862
pagead2.googlesyndication.com	104	1432.061306	866	5731267
fastlane.rubiconproject.com	460	1684.297097	1639	5646437
s.thebrighttag.com	92	965.8139788	502	5593302
cdnjs.cloudflare.com	64	1111.337007	663	5537133
use.typekit.net	107	1198.533975	873	5298854
www.gstatic.com	22	1171.111294	558	5242594
tag.contactatonce.com	81	780.9366417	406	5055830
vinlens.com	94	922.9477754	625	4851142
static.foxnews.com	43	716.6233543	320	4835257
client.schwab.com	157	618.5970312	619	4707510
cdnssl.clicktale.net	44	790.4019505	525	4544695
fundingchoicesmessages.google.com	167	1454.205905	930	4489867
c.evidon.com	11	1056.986947	299	4429944
px.moatads.com	56	1151.92788	368	4418434
ib.adnxs.com	322	1362.803299	1173	4350375
static.hotjar.com	113	1169.162536	837	4318466
t.co	151	1075.753858	562	4312695
ssl.google-analytics.com	60	1109.116205	543	4281123
siteintercept.qualtrics.com	91	572.5896865	366	4237236
cm.everesttech.net	78	714.5312907	370	4156785
www.google.co.jp	107	572.9778827	305	4115418
va.v.liveperson.net	94	595.5734899	382	4109370
sslwidget.criteo.com	201	1450.195674	1236	3967990
script.hotjar.com	30	1124.195355	756	3912926
secure.widget.cloud.opta.net	88	1365.396005	951	3876357
as-sec.casalemedia.com	341	1347.958193	1073	3876159
www.jumpstarttaggingsolutions.com	114	1206.906541	700	3764501
secure.adnxs.com	168	1097.031949	821	3739410
vars.hotjar.com	20	600.8520125	379	3640503
ad.doubleclick.net	257	1343.465134	1314	3492357
display.ugc.bazaarvoice.com	80	1063.875666	688	3428465
static.ads-twitter.com	82	1342.447929	755	3388681
www.youtube.com	228	1419.502608	1013	3378140
cdn.taboola.com	61	1553.449609	977	3366606
secure-ds.serving-sys.com	24	827.7460696	437	3252763
ing-district.clicktale.net	95	463.5518171	486	3243939
dmp.theadex.com	54	1279.433666	452	3215828
mc.yandex.ru	124	1833.701198	1189	3184271
service.maxymiser.net	97	663.5324459	408	3156165
ajax.googleapis.com	43	1075.363135	589	3108911
s.yimg.com	34	1232.716729	673	3105253
cdn.gubagoo.io	21	1022.663045	476	3040350
analytics.snidigital.com	77	1163.062992	496	2963645
fast.fonts.net	53	867.3049349	479	2822638
lptag.liveperson.net	29	1103.804762	694	2759810
apps.bazaarvoice.com	63	1275.314068	597	2718975
js-agent.newrelic.com	5	328.9436993	200	2457037
cdn.optimizely.com	161	1255.121151	919	2367099
res.cloudinary.com	157	1926.911372	1475	2320643
cdn.dynamicyield.com	80	1013.281758	643	2078197
lsco.scene7.com	163	1316.420071	944	2032734
st0.mngbcn.com	106	1150.294661	747	1950268