TTI,LASTFONT,FREQ
3490,1212.877153,871
3864,1215.741050,838
3898,1502.033499,806
3131,1303.071429,784
3154,1337.709091,770
3249,1218.593995,766
3356,1351.656619,763
4593,1522.564069,757
4279,1740.076821,755
3023,1191.149333,750
3652,1530.204819,747
4256,1301.657682,742
3434,1362.974290,739
3173,1029.193767,738
3242,1264.027174,736
3307,1314.246238,731
4060,1626.834247,730
2876,1182.854195,727
3208,1320.651994,727
3810,1593.550206,727
4493,1731.714876,726
2601,1033.457300,726
2975,1038.872928,724
3547,1527.595007,721
3981,1438.917942,719
3382,1304.662483,717
3223,1322.659693,717
3243,1249.099024,717
3185,1266.716480,716
3569,1477.117483,715
3155,1272.596073,713
4353,1767.677419,713
3098,1212.067606,710
3319,1514.966150,709
3293,1383.052260,708
2831,1184.563739,706
3347,1299.330496,705
5066,2127.713475,705
4236,1570.633523,704
3227,1199.401989,704
3499,1338.396307,704
4012,1607.210227,704
3699,1604.504274,702
3581,1428.519258,701
3351,1304.154286,700
2727,1055.171674,699
2950,1130.255014,698
3590,1362.018625,698
3897,1613.833811,698
5243,3088.812321,698
3086,1322.456241,697
3825,1529.038737,697
4574,4429.370690,696
3508,1422.179598,696
3601,1417.244604,695
2890,1110.703170,694
3653,1331.773449,693
3708,1480.410405,692
3143,1123.901592,691
3817,1564.843478,690
3207,1259.119186,688
3069,1192.152616,688
3996,1567.700581,688
2796,1083.123547,688
4507,1797.086006,686
4116,1676.919825,686
3819,1536.603499,686
3201,1236.925547,685
3327,1411.134307,685
3172,1290.652047,684
3405,1136.311859,683
4011,1755.385066,683
4051,1690.311859,683
3454,1548.521994,682
3524,1453.080645,682
2760,1072.270191,681
3329,1231.980910,681
4246,1670.744118,680
3359,1402.737850,679
3848,1572.857143,679
2964,1182.181416,678
2535,1076.032448,678
4939,1952.030973,678
2967,1243.264402,677
3150,1335.745938,677
2942,1150.387574,676
3467,1357.599112,676
3999,1685.989645,676
3655,1488.792593,675
2649,1047.666667,675
4437,1686.205926,675
3827,1635.553412,674
3300,1319.409496,674
3516,1470.004451,674
3156,1357.327893,674
3426,1454.409496,674
3729,1397.662704,673
3296,1370.285290,673
2633,1093.417533,673
3689,1652.849926,673
3650,1463.849926,673
3701,1578.516369,672
3478,1218.201192,671
3489,1458.329359,671
3484,1377.938806,670
2843,1245.534328,670
3678,1513.365672,670
2846,1266.911940,670
2935,1080.019403,670
4671,2049.444776,670
3107,1265.867164,670
4268,1871.339312,669
3008,1188.801196,669
4115,1689.362275,668
4603,1688.321856,668
3518,1494.422156,668
3828,1560.820090,667
4818,1690.424288,667
3241,1292.805097,667
3496,1445.743243,666
4185,1773.000000,666
3613,1480.411411,666
3863,1506.304805,666
2763,1141.772932,665
4085,904.455639,665
2685,1095.327820,665
3515,1356.181955,665
3324,1270.993976,664
3232,1180.170181,664
3857,1704.653092,663
2850,1191.013575,663
4281,1773.292609,663
3193,1270.357466,663
3643,1468.126697,663
3124,1311.909366,662
3603,1523.892749,662
3670,1496.262840,662
3209,1249.885196,662
4634,2082.584592,662
3074,1242.332326,662
3872,1713.096823,661
3530,1477.167927,661
2926,1214.187595,661
3512,1289.547655,661
3504,1423.884848,660
4240,1736.834848,660
2701,1163.384848,660
5086,2032.790909,660
3470,1357.959091,660
6201,1669.411229,659
3115,1326.166920,659
2826,1165.470410,659
3284,1469.822458,659
3955,1588.350531,659
3681,1592.132219,658
3424,1426.463526,658
3415,1327.390578,658
4449,1584.473364,657
3660,1521.756469,657
3428,1268.992390,657
4440,1762.182648,657
3034,1247.558600,657
2790,1142.041096,657
3167,1336.535061,656
2848,1124.801829,656
3380,1481.614329,656
3397,1370.885496,655
4034,1546.572519,655
3533,1366.890076,655
2718,1160.377099,655
3371,1257.334351,655
3083,1183.090076,655
4779,1894.038168,655
3281,1346.229008,655
3017,1211.186260,655
3497,1458.445802,655
4988,1737.082569,654
3481,903.039755,654
3270,1188.879205,654
4131,1738.681957,654
4632,1949.313456,654
3788,1448.010703,654
2710,1130.950995,653
2680,1141.803982,653
3977,1533.840735,653
4461,1689.879020,653
3045,1262.278714,653
3373,1371.793262,653
2883,1160.359877,653
4339,1800.217458,653
3213,1337.562021,653
3446,1594.441041,653
2999,1207.995399,652
3694,1346.688650,652
3152,1249.009202,652
2713,1091.492331,652
3169,1206.572965,651
3010,1229.347158,651
4145,1770.076923,650
3674,1506.169231,650
3158,1224.123077,650
4167,1703.918462,650
3085,1236.835385,650
4898,1753.120000,650
5106,1928.166410,649
3721,1439.198767,649
2670,1102.559322,649
4082,1765.702619,649
3473,1281.349769,649
3539,1411.953775,649
3488,1331.978428,649
3912,1557.620370,648
3745,1671.520062,648
4020,1545.858025,648
3235,1340.645062,648
4450,1730.410494,648
2900,1163.067901,648
4386,1712.493827,648
4117,1784.087963,648
4245,1716.405864,648
3831,1455.123648,647
3450,1434.381762,647
4881,1932.035549,647
2423,928.941267,647
2571,1045.622875,647
4607,2094.275116,647
2943,1230.063467,646
5412,2305.846749,646
4590,1945.236842,646
4317,1728.602167,646
3910,1621.529412,646
2731,1115.055728,646
4606,1726.535604,646
3963,1495.569659,646
4746,1857.481424,646
3461,1536.103715,646
3406,1380.648607,646
5182,2093.944272,646
2259,839.324031,645
4630,1836.578295,645
3521,1353.984496,645
4365,1819.742636,645
3090,1177.762791,645
3257,1413.572981,644
2955,1194.583851,644
3395,1425.517081,644
3350,1343.531056,644
3409,1451.018634,644
2849,1162.388199,644
4194,1603.150621,644
3233,1246.483670,643
3447,1430.564541,643
2960,1232.656299,643
3053,1317.928460,643
4682,1870.914463,643
7636,1988.314152,643
4584,1743.825816,643
2861,1022.662519,643
2947,1171.632970,643
5131,2113.359813,642
4508,2050.727414,642
3119,1229.429907,642
3365,1536.338006,642
3399,1329.141745,642
2797,1143.967290,642
3192,1223.638629,642
2981,1137.093458,642
3436,1588.968847,642
3206,1384.032710,642
3264,1443.798752,641
5089,2139.390016,641
3659,1652.229329,641
4000,1542.475819,641
3605,1473.987520,641
3875,1444.907956,641
3387,1242.787832,641
3887,1564.174727,641
4918,2163.485179,641
4100,1523.210938,640
4445,1847.254688,640
5320,2084.389063,640
4078,1768.407813,640
3225,1416.662500,640
3044,1318.485938,640
2992,1150.388106,639
3455,1422.059468,639
2812,1198.071987,639
3580,1385.438185,639
3265,1350.300469,639
4002,1644.408451,639
2773,1119.064163,639
4124,1826.723005,639
4259,1566.664577,638
3000,1292.230408,638
3345,1393.205329,638
4611,1969.628527,638
4220,1847.202194,638
4022,1596.117555,638
3667,1420.207221,637
2844,1236.257457,637
4238,1741.171115,637
2628,953.687598,637
4280,1670.959184,637
2611,1021.976452,637
4173,1688.036107,637
3145,1223.430141,637
3251,1404.713836,636
3961,1760.828616,636
3871,1544.073899,636
2750,1114.797170,636
3222,1307.602201,636
3586,1599.523585,636
5399,2073.965354,635
3501,1389.848819,635
4454,1725.044094,635
4196,1757.902362,635
3610,1546.361199,634
4527,1971.036278,634
4879,1911.927445,634
4691,2072.212934,634
2811,1125.682965,634
3760,1400.247634,634
3587,1570.432177,634
2888,1151.206625,634
3520,1442.558360,634
4261,1700.884858,634
4385,1661.477093,633
3127,1356.469194,633
2380,904.055292,633
4557,1779.017378,633
3592,1484.240126,633
3161,1360.025276,633
3621,1430.796209,633
3282,1368.194313,633
3288,1378.298578,633
3928,1674.706161,633
3796,1367.556082,633
4556,1726.524487,633
3128,1267.925750,633
4093,1587.056872,633
2827,1129.022117,633
3764,1552.327014,633
3110,1237.299051,632
4466,1841.363924,632
3203,1264.791139,632
3908,1691.090190,632
2547,1040.224684,632
4642,1895.369255,631
3642,1473.692552,631
5015,1960.573693,631
4444,1755.589540,631
3421,1452.177496,631
5252,1918.936609,631
2973,1248.277778,630
3441,1420.476190,630
3027,1363.171429,630
4334,1766.457143,630
4819,2052.360317,630
3672,1345.484127,630
3730,1425.090620,629
4375,1786.381558,629
3099,1202.034976,629
3160,1382.963434,629
2566,959.379968,629
3360,1266.437202,629
3596,1448.012719,629
3597,1484.631161,629
4538,1685.384738,629
2930,1111.611465,628
3226,1158.570064,628
2366,993.624204,628
3755,1585.781847,628
3082,1269.729299,628
3272,1397.227707,628
3391,1308.956938,627
3720,1525.295056,627
3048,1255.513557,627
3633,1414.784689,627
3935,1730.312600,627
3506,1391.293461,627
4155,1684.212121,627
2829,1197.004785,627
3942,1516.754386,627
3096,1160.894737,627
3425,1478.902556,626
4025,1590.969649,626
2776,999.881789,626
3532,1586.867412,626
3396,1367.150160,626
3737,1647.520767,626
4512,1707.795527,626
3120,1268.107029,626
3728,1428.222400,625
3204,1225.286400,625
4896,2025.801600,625
3066,1280.025600,625
4430,1734.030400,625
3267,1278.318400,625
2978,1240.992000,625
2799,1168.281600,625
3400,1453.508800,625
2969,1165.672000,625
3456,1425.713141,624
3433,1411.774038,624
4363,1785.275641,624
4038,1775.649038,624
3482,1445.245192,624
2728,1141.112179,624
4079,1462.540064,624
3266,1396.163462,624
3276,1343.262821,624
3165,1229.179487,624
2264,958.150641,624
3582,1466.219904,623
3435,1445.120385,623
3531,1505.682183,623
2918,1179.205457,623
4342,1650.168539,623
2774,1045.858748,623
3297,1299.914928,623
3612,1567.800963,623
2830,1083.300161,623
3122,1288.958266,623
3558,1568.322632,623
4050,1704.545746,623
4469,1746.819936,622
2579,1034.073955,622
2780,1068.559486,622
2758,1229.184887,622
3163,1241.848875,622
4352,1873.204180,622
2985,1275.562701,622
3807,1416.667203,622
4821,2003.390675,622
3355,1446.980707,622
4661,1988.993569,622
3064,1334.860129,622
4491,2091.396135,621
3245,1468.695652,621
4350,1937.123994,621
2979,1191.706924,621
2644,1077.830918,621
3702,1513.017713,621
3088,1151.956522,621
3113,1277.003221,621
4724,1811.361290,620
3487,1421.279032,620
4003,1616.427419,620
5218,2079.114516,620
3826,1700.720968,620
4802,2022.845161,620
2574,1110.363489,619
3554,1658.054927,619
3184,1408.751212,619
3234,1357.678514,619
2970,1212.248788,619
4511,1856.470113,619
3649,1581.100162,619
3540,1542.649435,619
3174,1216.861066,619
3305,1234.237480,619
4282,1634.558966,619
5357,2134.319871,619
3538,1542.731826,619
3640,1365.401294,618
3294,1411.749191,618
3635,1470.239482,618
4371,1662.679612,618
4121,1767.933657,618
3775,1524.279935,618
3087,1252.679612,618
2737,1114.279935,618
3187,1362.951456,618
2741,1078.313916,618
3472,1395.836570,618
2304,930.522654,618
4387,1873.598706,618
2832,1078.226537,618
3449,1373.821718,617
3991,1579.654781,617
4276,1694.653160,617
3475,1255.987034,617
3739,1536.719611,617
2993,1222.463533,617
3439,1427.576985,617
3182,1322.781199,617
4332,1777.442464,617
2736,1083.034091,616
3834,1489.384740,616
2664,984.857143,616
2851,1119.944805,616
3697,1581.730519,616
4009,1691.196429,616
3334,1437.173701,616
4132,1721.741883,616
3390,1450.696429,616
3340,1370.415584,616
2821,1034.605519,616
2938,1287.818182,616
3771,1665.019481,616
4066,1536.633117,616
3429,1367.761364,616
2994,1152.993506,616
4571,1878.785714,616
2775,1071.155844,616
2793,1037.694309,615
3246,1257.603252,615
2364,900.715447,615
3754,1358.556098,615
4888,2045.214634,615
2934,1173.055285,615
2807,1157.721951,615
3287,1451.226016,615
2746,998.354472,615
3833,1778.282927,615
3316,1314.928455,615
4908,2078.247557,614
3335,1418.571661,614
3710,1352.684039,614
3277,1293.425081,614
3320,1469.848534,614
4646,1856.415309,614
4367,1698.600977,614
3191,1294.726384,614
4015,1523.574919,614
3095,1244.061889,614
3129,1336.557003,614
3783,1376.150082,613
5060,2019.750408,613
3097,1283.681892,613
4360,1896.593801,613
4217,1749.872757,613
3744,1543.743883,613
4172,1657.634584,613
2893,1260.404568,613
4046,1686.929853,613
3338,1323.352365,613
3746,1459.094771,612
3483,1415.995098,612
3374,1339.341503,612
3939,1436.017974,612
3310,1463.655229,612
3631,1521.589869,612
3957,1597.148693,612
3130,1225.508170,612
4257,1418.606209,612
3125,1258.717320,612
4623,1789.387889,611
3018,1246.715221,611
4165,1711.405892,611
4910,1890.171849,611
2318,960.610475,611
3514,1349.250409,611
4264,1615.800327,611
4374,1765.733224,611
3802,1497.458265,611
4657,1896.788871,611
3466,1459.335516,611
3039,1304.283142,611
3291,1392.968903,611
2803,1196.777414,611
4592,1831.490998,611
2954,1106.606557,610
3028,1160.677049,610
3716,1579.337705,610
5084,2054.550820,610
3973,1690.460656,610
3843,1550.203279,610
3137,1293.298361,610
4258,1889.985246,610
2896,1233.524590,610
3278,1353.375410,610
3952,1596.227869,610
3556,1600.274220,609
4361,1727.625616,609
3431,1459.224959,609
4596,1709.062397,609
3312,1303.246305,609
3662,1476.174056,609
4560,1750.857143,609
3477,1349.464696,609
3275,1306.083744,609
5427,2021.134647,609
4074,1793.909688,609
3837,1561.732348,609
3647,1418.302135,609
3766,1491.188834,609
3330,1368.057471,609
3445,1447.162562,609
3285,1343.802956,609
3216,1323.970395,608
3492,1470.223684,608
2544,921.279605,608
2873,1131.924342,608
2963,1251.850329,608
2887,1076.682566,608
2976,1141.582237,608
3007,1089.819079,608
2937,1065.766447,608
3046,1318.302632,608
4201,1629.169408,608
3100,1346.225700,607
3248,1388.116969,607
4303,1805.792422,607
3943,1586.339374,607
5353,2265.080725,607
3525,1511.378913,607
2429,1006.693575,607
3081,1155.469522,607
4287,1747.889621,607
4686,1700.988468,607
4871,2271.698517,607
4023,1625.808896,607
3372,1577.635914,607
4122,1892.135091,607
3830,1579.404290,606
3620,1414.364686,606
3183,1266.293729,606
4516,1634.531353,606
2118,838.179868,606
3460,1205.605611,606
3740,1555.026403,606
2521,1053.641914,606
3842,1636.034653,606
3394,1370.004950,606
3611,1534.273927,606
2606,1120.899340,606
4260,1651.561056,606
3465,1432.410891,606
3112,1368.382838,606
2732,1176.783828,606
4243,1539.729373,606
4768,2079.379538,606
3386,1357.580858,606
2575,1031.585124,605
3919,1571.953719,605
3757,1640.685950,605
2733,1061.970248,605
3683,1503.566942,605
3419,1464.231405,605
2902,1063.277686,605
2982,1238.935537,605
3568,1413.084298,605
3229,1435.823140,605
4130,1731.360927,604
3231,1326.011589,604
2914,982.511589,604
3741,1624.021523,604
3070,1230.473510,604
2951,1211.433775,604
3237,1229.248344,604
3153,1392.435430,604
4429,1727.549669,604
4411,1730.182119,604
4324,1807.097682,604
3273,1329.269868,604
3079,1309.985099,604
5644,1943.440397,604
3570,1544.253311,604
3224,1227.761589,604
3337,1443.859038,603
4140,1775.424544,603
5010,2056.242123,603
4738,2042.736318,603
2580,1078.585406,603
2150,983.829187,603
3979,1628.577114,603
3303,1308.260365,603
4580,1854.809287,603
2720,1062.686567,603
3765,1657.583056,602
3398,1426.641196,602
3309,1308.498339,602
3704,1699.835548,602
5217,1955.476744,602
2317,1039.167774,602
2410,982.343854,602
3552,1475.627907,602
2968,1242.729236,602
3032,1209.327243,602
3706,1661.053156,602
2170,892.552413,601
3261,1446.139767,601
5179,2211.975042,601
2522,988.890183,601
4707,1878.445923,601
4013,1732.404326,601
4914,1929.093178,601
4598,1814.277870,601
4383,1622.868552,601
4733,1870.643927,601
3134,1322.093178,601
4496,1866.073211,601
4286,1808.259567,601
2868,1109.074875,601
4228,1568.226667,600
4223,1633.993333,600
3924,1505.103333,600
5331,2166.216667,600
3452,1443.433333,600
3377,1285.656667,600
3298,1468.535000,600
5454,2157.566667,600
3763,1500.350000,600
4711,1930.165000,600
3024,1160.725000,600
3804,1654.880000,600
3931,1552.974958,599
5291,1911.968280,599
2604,995.926544,599
5356,2218.240401,599
2553,981.238731,599
4853,1873.242070,599
4206,1791.280467,599
4806,1854.420701,599
3031,1370.121870,599
3793,1434.048414,599
5082,1833.966611,599
2512,940.326087,598
3703,1436.785953,598
4028,1642.413043,598
4076,1833.690635,598
2966,1241.212375,598
5916,2400.749164,598
3542,1429.988294,598
2752,1006.722408,598
3625,1527.754181,598
2920,1126.799331,598
3381,1241.301003,598
2810,1087.327759,598
4627,1755.443144,598
3841,1563.660535,598
4069,1767.498328,598
4073,1573.453177,598
4448,1691.758794,597
3677,1392.658291,597
4464,1802.549414,597
2529,1046.036851,597
2681,1031.209380,597
4501,1901.046901,597
3376,1336.453936,597
3342,1276.490787,597
3767,1665.480737,597
4255,1575.217755,597
3798,1495.222781,597
3606,1424.519263,597
3742,1616.303183,597
2613,1123.746644,596
4316,2067.964765,596
4742,2025.453020,596
3116,1325.422819,596
3654,1438.308725,596
4059,1568.671141,596
3990,1547.744966,596
4808,1748.662752,596
4554,1927.291946,596
4495,1802.721477,596
3219,1421.872483,596
4675,1910.591597,595
3012,1133.983193,595
3867,1549.552941,595
3758,1538.863866,595
4416,1752.564706,595
4305,1706.591597,595
3815,1502.684034,595
3609,1509.401681,595
3715,1560.050420,595
4643,1727.011765,595
3464,1409.475630,595
2749,1172.949580,595
4719,1933.193277,595
2526,1010.721008,595
2971,1308.415825,594
3061,1291.872054,594
4771,1945.732323,594
3638,1490.754209,594
3056,1203.282828,594
3244,1306.688552,594
4382,1775.897306,594
4825,2056.898990,594
3049,1109.107744,594
2921,1191.213805,594
3882,1630.005051,594
3325,1412.271044,594
3055,1345.153199,594
3583,1439.454545,594
4435,1875.565657,594
2717,984.920875,594
3180,1376.271044,594
3151,1364.340067,594
2755,1145.619529,594
3188,1250.910774,594
3511,1336.988215,594
3809,1730.846801,594
2597,953.834739,593
3600,1473.841484,593
4483,1770.180438,593
2591,1171.215852,593
2991,1115.499157,593
4730,1905.183811,593
3211,1300.237774,593
4886,1773.121417,593
4252,1784.593592,593
3378,1339.264755,593
3164,1349.809444,593
4156,1678.860034,593
4858,2137.193929,593
4539,1991.628378,592
5240,1861.466216,592
4277,1900.684122,592
2946,1252.000000,592
4340,1819.060811,592
4633,2055.716216,592
3171,1355.283784,592
4992,1987.010135,592
4628,1729.300676,592
3707,1426.057432,592
3665,1439.018581,592
4604,1897.246622,592
3687,1652.121622,592
3976,1688.781726,591
4951,2089.169205,591
4400,1580.081218,591
5166,2079.549915,591
2630,1072.859560,591
4670,1846.120135,591
3105,1085.128596,591
2889,983.534687,591
2792,1147.737733,591
4248,1789.252115,591
4759,1956.551607,591
5048,1908.367174,591
2754,1201.040609,591
2375,935.079526,591
3003,1245.150592,591
3593,1472.788494,591
4419,1689.362098,591
4427,695.340678,590
3141,1305.622034,590
2852,1188.603390,590
3072,1238.271186,590
4637,1924.544068,590
4202,1831.198305,590
3622,1425.428814,590
2802,1120.422034,590
4644,1841.984746,590
2551,1007.601695,590
3091,1350.984746,590
3534,1544.362712,590
3196,1310.991525,590
2998,1199.442373,590
3782,1647.981324,589
2511,984.073005,589
4024,1586.826825,589
4692,1716.682513,589
4347,1837.920204,589
3315,1245.796265,589
3772,1433.122241,589
3422,1321.020374,589
4447,1687.511036,589
2757,1135.382003,589
2906,1151.624788,589
2990,1168.952462,589
3974,1553.320883,589
3801,1583.521222,589
4263,1656.117148,589
5164,1974.513605,588
4337,1848.629252,588
3776,1695.045918,588
3502,1381.022109,588
3563,1564.102041,588
3202,1229.125850,588
3607,1392.790816,588
2822,1117.676871,588
3883,1660.556122,588
4200,1694.678571,588
5440,2219.292517,588
3577,1396.952381,588
3059,1343.644558,588
3564,1493.571429,588
2875,1148.163265,588
4725,2031.734694,588
2533,1015.988095,588
4329,1743.039116,588
2458,961.151361,588
3054,1120.817717,587
2447,1061.047700,587
3669,1376.316865,587
2881,1076.630324,587
3709,1675.253833,587
5233,2247.734242,587
3724,1494.945486,587
3363,1286.759796,587
5373,2099.216354,587
4486,1984.923339,587
3559,1438.371380,587
3159,1150.538330,587
2862,1171.405451,587
4688,1820.257240,587
3076,1300.671210,587
5064,2062.667802,587
3462,1473.642249,587
3517,1361.519591,587
3896,1583.133106,586
3528,1494.592150,586
4804,2096.329352,586
3789,1600.716724,586
4384,1837.918089,586
4523,1940.266212,586
2308,950.677474,586
4850,1787.027304,586
3108,1168.815700,586
3962,1674.056314,586
3437,1514.411263,586
1978,842.918089,586
4294,1568.994872,585
4283,1807.545299,585
4844,2015.511111,585
4160,1589.924786,585
3980,1749.928205,585
2739,1125.502564,585
3375,1539.986325,585
3941,1613.671795,585
5613,2398.519658,585
3011,1230.762393,585
3769,1638.529915,585
3513,1471.825641,585
4586,1903.420513,585
4338,1592.244444,585
4890,1946.174359,585
3734,1550.352137,585
3891,1477.469178,584
3080,1286.203767,584
3230,1406.010274,584
2462,1048.458904,584
2974,1156.914384,584
4405,1961.154110,584
2665,1029.693493,584
2742,1188.500000,584
4047,1793.034247,584
3368,1406.486301,584
3051,1268.104452,584
5550,2184.080479,584
3255,1279.282534,584
4102,1619.892123,584
3414,1453.568493,584
4609,1739.126712,584
4086,1778.940068,584
4835,1878.863014,584
3579,1474.263699,584
4053,1561.373288,584
4182,1792.404110,584
3995,1663.890223,583
4174,1800.569468,583
4098,1453.147513,583
3349,1314.938250,583
4297,1854.300172,583
4048,1903.411664,583
4101,1802.650086,583
4107,1537.135506,583
4064,1701.231561,583
3574,1421.486254,582
4653,1806.974227,582
5065,2137.903780,582
4187,1798.465636,582
4111,1676.778351,582
4546,1811.176976,582
2768,1255.091065,582
3026,1156.137457,582
3886,1644.836770,582
2605,1063.874570,582
4296,1821.932990,582
5028,2211.070447,582
2814,1254.402062,582
3854,1617.392427,581
3109,1254.719449,581
2897,1203.366609,581
4105,1682.624785,581
3393,1395.240964,581
2735,1079.819277,581
3214,1264.165232,581
4230,1910.385542,581
4809,1996.759036,581
3675,1492.764200,581
5040,2109.046472,581
5070,1757.270224,581
4215,1699.714286,581
4482,1704.352840,581
2570,1121.123924,581
2983,1159.262069,580
2842,1194.622414,580
2972,1251.956897,580
4822,1925.501724,580
2785,1111.927586,580
2845,1131.806897,580
4006,1741.967241,580
3535,1459.275862,580
5127,1997.179310,580
4369,1840.736207,580
4497,1895.741379,580