Date,TIMESTAMP,TIMESTAMP_MS,POPULATION,SOURCE,Count
1/12/95,817776000,8.17776E+11,0.004,IDC,16000000
1/12/96,849398400,8.49398E+11,0.009,IDC,36000000
1/12/97,880934400,8.80934E+11,0.017,IDC,70000000
1/12/98,912470400,9.1247E+11,0.036,C.I. Almanac,147000000
1/12/99,944006400,9.44006E+11,0.041,Nua Ltd.,248000000
1/3/00,951868800,9.51869E+11,0.05,Nua Ltd.,304000000
1/7/00,962409600,9.6241E+11,0.059,Nua Ltd.,359000000
3/12/00,975801600,9.75802E+11,0.058,Internet World Stats,361000000
1/3/01,983404800,9.83405E+11,0.076,Nua Ltd.,458000000
28/05/2001,991008000,9.91008E+11,0.079,Nua Ltd.,479000000
24/08/2001,998611200,9.98611E+11,0.086,Nua Ltd.,513000000
1/4/02,1017619200,1.01762E+12,0.086,Internet World Stats,558000000
1/7/02,1025481600,1.02548E+12,0.091,Internet World Stats,569000000
1/9/02,1030838400,1.03084E+12,0.094,Internet World Stats,587000000
1/3/03,1046476800,1.04648E+12,0.097,Internet World Stats,608000000
1/9/03,1062374400,1.06237E+12,0.106,Internet World Stats,677000000
1/10/03,1064966400,1.06497E+12,0.107,Internet World Stats,682000000
1/12/03,1070236800,1.07024E+12,0.111,Internet World Stats,719000000
1/2/04,1075593600,1.07559E+12,0.115,Internet World Stats,745000000
1/5/04,1083369600,1.08337E+12,0.117,Internet World Stats,757000000
1/10/04,1096588800,1.09659E+12,0.127,Internet World Stats,812000000
1/12/04,1101859200,1.10186E+12,0.127,Internet World Stats,817000000
1/3/05,1109635200,1.10964E+12,0.139,Internet World Stats,888000000
1/6/05,1117584000,1.11758E+12,0.146,Internet World Stats,938000000
1/9/05,1125532800,1.12553E+12,0.149,Internet World Stats,957000000
1/11/05,1130803200,1.1308E+12,0.152,Internet World Stats,972000000
1/12/05,1133395200,1.1334E+12,0.157,Internet World Stats,1018000000
1/3/06,1141171200,1.14117E+12,0.157,Internet World Stats,1023000000
1/6/06,1149120000,1.14912E+12,0.16,Internet World Stats,1043000000
1/9/06,1157068800,1.15707E+12,0.167,Internet World Stats,1086000000
1/12/06,1164931200,1.16493E+12,0.167,Internet World Stats,1093000000
1/3/07,1172707200,1.17271E+12,0.172,Internet World Stats,1129000000
1/6/07,1180656000,1.18066E+12,0.178,Internet World Stats,1173000000
1/9/07,1188604800,1.1886E+12,0.189,Internet World Stats,1245000000
1/12/07,1196467200,1.19647E+12,0.2,Internet World Stats,1319000000
1/3/08,1204329600,1.20433E+12,0.211,Internet World Stats,1407000000
1/6/08,1212278400,1.21228E+12,0.219,Internet World Stats,1463000000
1/9/08,1220227200,1.22023E+12,0.225,Internet World Stats,1504000000
1/12/08,1228089600,1.22809E+12,0.235,Internet World Stats,1574000000
1/3/09,1235865600,1.23587E+12,0.238,Internet World Stats,1596000000
1/6/09,1243814400,1.24381E+12,0.247,Internet World Stats,1669000000
1/9/09,1251763200,1.25176E+12,0.256,Internet World Stats,1734000000
1/12/09,1259625600,1.25963E+12,0.266,Internet World Stats,1802000000
1/6/10,1275350400,1.27535E+12,0.287,Internet World Stats,1966000000
1/9/10,1283299200,1.2833E+12,0.288,Internet World Stats,1971000000
1/3/11,1298937600,1.29894E+12,0.302,Internet World Stats,2095000000
1/6/11,1306886400,1.30689E+12,0.304,Internet World Stats,2110000000
1/9/11,1314835200,1.31484E+12,0.315,Internet World Stats,2180000000
1/12/11,1322697600,1.3227E+12,0.327,Internet World Stats,2267000000
1/3/12,1330560000,1.33056E+12,0.333,Internet World Stats,2336000000
1/6/12,1338508800,1.33851E+12,0.343,Internet World Stats,2405000000
1/9/12,1346457600,1.34646E+12,0.348,Internet World Stats,2439000000
1/12/12,1354320000,1.35432E+12,0.357,I.T.U.,2497000000
1/12/13,1385856000,1.38586E+12,0.39,Internet World Stats,2802000000
1/6/14,1401580800,1.40158E+12,0.423,Internet World Stats,3035000000
1/12/14,1417392000,1.41739E+12,0.424,Internet World Stats,3079000000
1/6/15,1433116800,1.43312E+12,0.45,Internet World Stats,3270000000
1/12/15,1448928000,1.44893E+12,0.464,Internet World Stats,3366000000
1/6/16,1464739200,1.46474E+12,0.495,Internet World Stats,3631000000
1/12/16,1480550400,1.48055E+12,0.495,Internet World Stats,3696000000
1/6/17,1496275200,1.49628E+12,0.517,Internet World Stats,3885000000
1/12/17,1512086400,1.51209E+12,0.544,Internet World Stats,4156000000
1/6/18,1527811200,1.52781E+12,0.551,Internet World Stats,4208000000
1/12/18,1543622400,1.54362E+12,0.556,Internet World Stats,4313000000
1/3/19,1551398400,1.5514E+12,0.568,Internet World Stats,4383000000