DEVICETYPENAME,bytesImg,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Desktop,0,2318.372708,1600,4100,75912
Desktop,10000,3083.893161,2300,5200,73297
Desktop,20000,3309.652629,2500,5500,57892
Desktop,30000,3457.571144,2600,5800,46673
Desktop,40000,3605.159971,2800,6000,41145
Desktop,50000,3637.067289,2800,6100,36871
Desktop,60000,3715.259097,2900,6100,36523
Desktop,70000,3768.985162,2900,6300,31878
Desktop,80000,3919.140187,3000,6500,31087
Desktop,90000,3989.544972,3100,6600,29985
Desktop,100000,3731.397258,2800,6400,34207
Desktop,110000,4109.652546,3200,7000,29578
Desktop,120000,4174.759042,3200,7000,28727
Desktop,130000,4244.674309,3300,7000,27741
Desktop,140000,4277.270013,3300,7200,28306
Desktop,150000,4383.877977,3400,7300,26454
Desktop,160000,4493.210818,3500,7700,26364
Desktop,170000,4467.78274,3500,7600,25573
Desktop,180000,4466.578249,3600,7600,25157
Desktop,190000,4294.013325,3400,7300,27092
Desktop,200000,4637.51376,3700,7700,24346
Desktop,210000,4784.596167,3700,7800,24104
Desktop,220000,4601.058623,3700,7600,23523
Desktop,230000,4706.014726,3800,7700,23360
Desktop,240000,4767.327432,3700,7900,22820
Desktop,250000,4796.245494,3800,7900,21972
Desktop,260000,4840.862569,3800,7900,21800
Desktop,270000,4851.487891,3900,8000,22050
Desktop,280000,4854.223777,3900,8000,21937
Desktop,290000,4964.449607,3900,8200,21392
Desktop,300000,5008.122604,4000,8300,21337
Desktop,310000,5050.583862,4000,8300,21428
Desktop,320000,5150.79192,4000,8500,20718
Desktop,330000,5126.521336,4100,8600,20482
Desktop,340000,5162.37263,4000,8600,20307
Desktop,350000,5207.904578,4100,8600,19901
Desktop,360000,5253.23816,4200,8500,19890
Desktop,370000,5306.974588,4200,8800,19400
Desktop,380000,5249.205779,4200,8600,19380
Desktop,390000,5283.569667,4200,8600,19062
Desktop,400000,5397.496168,4200,8800,19048
Desktop,410000,5357.640656,4300,8800,19018
Desktop,420000,5397.039549,4300,8900,18711
Desktop,430000,5447.869866,4300,9000,18212
Desktop,440000,5459.138286,4300,9000,18440
Desktop,450000,5572.680768,4400,9300,17965
Desktop,460000,5498.005451,4300,9000,17796
Desktop,470000,5501.556405,4400,8900,18057
Desktop,480000,5536.832505,4400,9100,17702
Desktop,490000,5635.783297,4400,9300,17254
Desktop,500000,5684.986506,4500,9300,17637
Desktop,510000,5684.915274,4500,9400,16937
Desktop,520000,5684.99399,4500,9400,16806
Desktop,530000,5719.71141,4600,9200,16889
Desktop,540000,5826.985933,4600,9500,16635
Desktop,550000,5849.885952,4600,9600,16572
Desktop,560000,5866.467482,4600,9500,16345
Desktop,570000,5859.488719,4600,9600,16267
Desktop,580000,5944.398516,4700,9700,15771
Desktop,590000,5893.147662,4700,9700,15935
Desktop,600000,5886.043063,4700,9700,15791
Desktop,610000,6037.70993,4800,9800,15479
Desktop,620000,5988.579768,4800,9900,15332
Desktop,630000,6028.733297,4800,9900,14788
Desktop,640000,6069.364875,4900,9900,15123
Desktop,650000,6044.188907,4900,9900,15108
Desktop,660000,6146.325585,4900,10000,14884
Desktop,670000,6170.683344,4900,10000,14691
Desktop,680000,6127.575888,5000,10000,14640
Desktop,690000,6139.302051,5000,9900,14577
Desktop,700000,6307.542786,5100,10500,14479
Desktop,710000,6281.611639,5100,10200,14090
Desktop,720000,6324.481873,5000,10300,14178
Desktop,730000,6286.717387,5000,10200,13867
Desktop,740000,6339.742368,5100,10200,13857
Desktop,750000,6363.502928,5100,10300,13831
Desktop,760000,6341.581716,5100,10300,13761
Desktop,770000,6459.290502,5200,10400,13456
Desktop,780000,6347.291421,5100,10300,13417
Desktop,790000,6353.115522,5200,10300,13452
Desktop,800000,6372.405498,5200,10400,13169
Desktop,810000,6420.140603,5200,10400,12994
Desktop,820000,6509.878729,5300,10600,12806
Desktop,830000,6521.575835,5300,10500,12936
Desktop,840000,6576.362184,5300,10600,12894
Desktop,850000,6528.789557,5300,10600,12602
Desktop,860000,6578.500158,5400,10500,12646
Desktop,870000,7620.077158,5600,12800,13090
Desktop,880000,6619.790782,5400,10700,12193
Desktop,890000,6680.225485,5500,10800,12258
Desktop,900000,6711.255049,5400,10700,12280
Desktop,910000,6668.993581,5400,10700,12152
Desktop,920000,6736.345911,5500,10800,12032
Desktop,930000,6749.585211,5500,11000,11671
Desktop,940000,6809.917946,5600,10900,11858
Desktop,950000,6833.721192,5600,10900,11542
Desktop,960000,6731.626087,5600,10900,11845
Desktop,970000,6789.484096,5600,10900,11601
Desktop,980000,6881.689437,5600,11000,11228
Desktop,990000,6833.807022,5700,10900,11421
Desktop,1000000,6862.876251,5600,10900,11289
Desktop,1010000,7010.462432,5800,11100,11193
Desktop,1020000,6900.180625,5700,11100,11128
Desktop,1030000,6990.869082,5800,11200,10984
Desktop,1040000,7055.276752,5700,11300,10728
Desktop,1050000,7063.196082,5700,11300,10822
Desktop,1060000,7004.060479,5700,11300,10764
Desktop,1070000,6948.10405,5800,11200,10889
Desktop,1080000,7109.060808,5900,11300,10673
Desktop,1090000,7127.026756,5800,11500,10353
Desktop,1100000,7108.798735,5900,11400,10116
Desktop,1110000,7176.158878,6000,11500,10121
Desktop,1120000,7096.584533,5900,11300,10215
Desktop,1130000,7229.244584,5900,11500,10156
Desktop,1140000,7141.006877,5900,11400,10179
Desktop,1150000,7165.99379,5900,11500,10145
Desktop,1160000,7154.393041,5900,11400,9915
Desktop,1170000,7377.86042,6100,11800,9765
Desktop,1180000,7327.557243,6100,11500,9809
Desktop,1190000,7328.851306,6100,11500,9570
Desktop,1200000,7342.621926,6100,11500,9514
Desktop,1210000,7340.799537,6200,11700,9493
Desktop,1220000,7472.690717,6200,11900,9674
Desktop,1230000,7381.736701,6200,11700,9324
Desktop,1240000,7395.806195,6300,11700,9298
Desktop,1250000,7432.615582,6200,11700,9370
Desktop,1260000,7413.329557,6300,11700,9003
Desktop,1270000,7479.4587,6200,12000,9322
Desktop,1280000,7505.893221,6200,11800,9131
Desktop,1290000,7579.605939,6300,12000,8958
Desktop,1300000,7469.599797,6300,11800,8878
Desktop,1310000,7588.210405,6400,11900,9092
Desktop,1320000,7631.978112,6400,11900,8772
Desktop,1330000,7670.40745,6400,12200,8752
Desktop,1340000,7535.937936,6400,12000,8604
Desktop,1350000,7627.089794,6400,12000,8642
Desktop,1360000,7637.470843,6400,12100,8300
Desktop,1370000,7503.643258,6300,11900,8373
Desktop,1380000,7653.481706,6400,12000,8418
Desktop,1390000,7739.932415,6600,12000,8715
Desktop,1400000,7712.682886,6500,12300,8303
Desktop,1410000,7710.131454,6600,12000,8193
Desktop,1420000,7656.876999,6500,12000,8130
Desktop,1430000,7706.908466,6500,12000,8150
Desktop,1440000,7830.471889,6600,12300,8093
Desktop,1450000,7747.220457,6600,12100,8183
Desktop,1460000,7856.802015,6700,12300,7940
Desktop,1470000,7847.180525,6700,12200,8154
Desktop,1480000,7664.435948,6500,12100,8618
Desktop,1490000,7865.16942,6700,12400,7809
Desktop,1500000,8026.997908,6700,12300,7649
Desktop,1510000,8012.21136,6700,12600,7641
Desktop,1520000,7946.595082,6800,12300,7604
Desktop,1530000,8007.782122,6800,12400,7596
Desktop,1540000,8076.814987,6800,12500,7513
Desktop,1550000,8060.672644,6800,12500,7417
Desktop,1560000,8065.012968,6900,12300,7634
Desktop,1570000,8066.977583,6900,12600,7316
Desktop,1580000,8071.173849,6900,12500,7472
Desktop,1590000,8094.38787,6900,12400,7304
Desktop,1600000,8181.670981,7000,12800,7185
Desktop,1610000,8137.43559,7000,12700,7266
Desktop,1620000,8304.902819,7000,12600,7059
Desktop,1630000,8241.569113,7000,12700,7032
Desktop,1640000,8189.296393,7000,12700,6903
Desktop,1650000,8208.399131,7000,12800,7133
Desktop,1660000,8185.10724,7100,12700,7003
Desktop,1670000,8197.030441,7000,12700,6800
Desktop,1680000,8210.729876,7100,13000,7019
Desktop,1690000,8187.403774,7100,12800,6890
Desktop,1700000,8198.803165,7100,12800,6762
Desktop,1710000,8385.178037,7100,13000,6611
Desktop,1720000,8411.732234,7200,13000,6487
Desktop,1730000,8290.115367,7200,13000,6605
Desktop,1740000,8299.697218,7100,12900,6579
Desktop,1750000,8366.139449,7200,13000,6246
Desktop,1760000,8383.736394,7300,12900,6339
Desktop,1770000,8383.841085,7200,12900,6343
Desktop,1780000,8400.333228,7300,13100,6335
Desktop,1790000,8376.80509,7300,13000,6208
Desktop,1800000,8421.043617,7300,13000,6259
Desktop,1810000,8463.905175,7400,12900,6106
Desktop,1820000,8548.324097,7300,13000,6171
Desktop,1830000,8401.209628,7200,13100,6211
Desktop,1840000,8464.449772,7400,13200,6132
Desktop,1850000,8561.058948,7400,13100,6158
Desktop,1860000,8573.488052,7300,13200,6110
Desktop,1870000,8542.158693,7500,13100,5999
Desktop,1880000,8678.904603,7500,13500,5996
Desktop,1890000,8728.289148,7600,13400,5907
Desktop,1900000,8717.538329,7600,13100,5805
Desktop,1910000,8824.584663,7600,13700,5764
Desktop,1920000,8814.760621,7600,13500,5861
Desktop,1930000,8770.8747,7600,13600,5826
Desktop,1940000,8624.378383,7600,13100,5653
Desktop,1950000,8809.717704,7600,13300,5558
Desktop,1960000,8859.505011,7600,13700,5588
Desktop,1970000,8832.145484,7600,13700,5547
Desktop,1980000,8827.520471,7800,13600,5520
Desktop,1990000,8897.945165,7700,13600,5398
Desktop,2000000,8865.413667,7700,13600,5473
Desktop,2010000,9000.218643,7700,13800,5525
Desktop,2020000,9136.853707,8000,13900,5571
Desktop,2030000,8817.665501,7700,13400,5435
Desktop,2040000,8912.94905,7800,13800,5476
Desktop,2050000,9008.641133,7800,13700,5509
Desktop,2060000,8954.52381,7900,13500,5418
Desktop,2070000,9050.303477,7900,13600,5292
Desktop,2080000,8994.871172,8000,13800,5224
Desktop,2090000,8931.871994,7800,13700,5281
Desktop,2100000,8983.71086,7800,13800,5046
Desktop,2110000,8922.366901,7700,13500,5124
Desktop,2120000,8998.418413,8000,13800,4866
Desktop,2130000,9074.615338,8000,13700,4916
Desktop,2140000,9143.085327,8000,13700,5016
Desktop,2150000,8890.927843,7900,13600,5003
Desktop,2160000,9023.578289,7900,13800,5039
Desktop,2170000,9048.85619,7900,13800,4798
Desktop,2180000,8988.971814,8000,14000,4896
Desktop,2190000,9057.557971,8000,13800,4830
Desktop,2200000,9262.285981,8000,14000,4815
Desktop,2210000,9178.69143,8200,14000,4819
Desktop,2220000,9148.365352,8000,13800,4768
Desktop,2230000,9210.986704,8000,14200,4588
Desktop,2240000,9189.133392,8100,14100,4573
Desktop,2250000,9177.310657,8100,14100,4645
Desktop,2260000,9418.078816,8300,14400,4796
Desktop,2270000,9319.137718,8200,14000,4698
Desktop,2280000,9201.114349,8000,13800,4495
Desktop,2290000,9462.457149,8200,14200,4504
Desktop,2300000,9359.656863,8100,14300,4692
Desktop,2310000,9278.07593,8200,14100,4570
Desktop,2320000,9167.734125,8100,14300,4630
Desktop,2330000,9300.877887,8300,14000,4676
Desktop,2340000,10024.05943,8900,15600,5250
Desktop,2350000,9687.087578,8300,14800,4476
Desktop,2360000,9506.779623,8400,14400,4515
Desktop,2370000,9379.588829,8300,14000,4458
Desktop,2380000,9448.693236,8400,14300,4391
Desktop,2390000,9567.770216,8400,14300,4452
Desktop,2400000,9346.501612,8300,14500,4342
Desktop,2410000,9507.431003,8300,14200,4348
Desktop,2420000,9499.143437,8500,14500,4190
Desktop,2430000,9573.360945,8500,14400,4189
Desktop,2440000,9506.976363,8500,14400,4273
Desktop,2450000,9753.297251,8500,14900,4111
Desktop,2460000,9630.385137,8500,14600,4279
Desktop,2470000,9641.55804,8600,14500,4204
Desktop,2480000,9640.075337,8600,14500,4075
Desktop,2490000,9613.558632,8400,14500,4153
Desktop,2500000,9660.051797,8600,14600,4035
Desktop,2510000,9802.848793,8600,14800,3935
Desktop,2520000,9496.971401,8500,14300,4091
Desktop,2530000,9684.094681,8600,15000,3929
Desktop,2540000,9737.404553,8600,14500,3997
Desktop,2550000,9607.245835,8600,14400,3962
Desktop,2560000,9719.055542,8600,14500,4015
Desktop,2570000,9854.024158,8700,15000,3891
Desktop,2580000,9832.924814,8700,14900,3897
Desktop,2590000,9896.900432,8700,15200,3706
Desktop,2600000,9756.060854,8700,14900,3796
Desktop,2610000,9838.982209,8700,14700,3766
Desktop,2620000,9902.489703,8700,15200,3739
Desktop,2630000,9771.528007,8700,14600,3642
Desktop,2640000,9939.547185,8800,15000,3730
Desktop,2650000,10078.24384,8900,15200,3732
Desktop,2660000,9767.07665,8800,14800,3666
Desktop,2670000,9807.787138,8900,14900,3763
Desktop,2680000,9836.395465,8800,15000,3616
Desktop,2690000,9827.824499,8800,15000,3641
Desktop,2700000,10021.30276,8900,15300,3554
Desktop,2710000,9856.60396,8900,14900,3636
Desktop,2720000,9794.785063,8800,14800,3508
Desktop,2730000,10203.55632,9000,15600,3631
Desktop,2740000,10021.39262,8900,15200,3525
Desktop,2750000,10047.73911,8900,15200,3557
Desktop,2760000,10130.11778,9000,15401,3583
Desktop,2770000,10236.10969,9100,15000,3437
Desktop,2780000,9960.678529,8900,15000,3400
Desktop,2790000,10211.92845,9000,15200,3438
Desktop,2800000,10144.16272,9200,15000,3417
Desktop,2810000,10127.5441,9100,15401,3413
Desktop,2820000,10272.7196,9100,15401,3306
Desktop,2830000,10102.65023,9200,15401,3325
Desktop,2840000,10325.39083,9200,15500,3403
Desktop,2850000,10103.97069,9100,15401,3275
Desktop,2860000,10238.13647,9100,15700,3312
Desktop,2870000,10241.99261,9200,15301,3246
Desktop,2880000,10296.51512,9200,15300,3240
Desktop,2890000,10300.35975,9200,15500,3369
Desktop,2900000,10307.88243,9300,15500,3198
Desktop,2910000,10301.8274,9100,15300,3233
Desktop,2920000,10008.24401,9000,15000,3131
Desktop,2930000,10449.64315,9300,16000,3189
Desktop,2940000,10199.87224,9100,15500,3084
Desktop,2950000,10244.25095,9300,15401,3164
Desktop,2960000,10297.21129,9300,15300,3152
Desktop,2970000,10380.62034,9300,15700,3137
Desktop,2980000,10577.57058,9300,15700,3018
Desktop,2990000,10358.6284,9300,15700,3084
Desktop,3000000,10343.25266,9300,15800,3008
Desktop,3010000,10468.57708,9400,15700,3010
Desktop,3020000,10408.99769,9400,15700,3035
Desktop,3030000,10595.16961,9400,16000,3001
Desktop,3040000,10770.4119,9600,16300,2957
Desktop,3050000,10667.90062,9400,16100,3059
Desktop,3060000,10513.51634,9500,15800,2938
Desktop,3070000,10319.62721,9400,15800,2991
Desktop,3080000,10417.21856,9500,15600,2910
Desktop,3090000,10559.2836,9400,16000,2969
Desktop,3100000,10719.83474,9500,16000,2844
Desktop,3110000,10566.85232,9400,15700,2932
Desktop,3120000,10563.4723,9600,16100,2888
Desktop,3130000,10418.12575,9500,15600,2847
Desktop,3140000,10655.86996,9500,15500,2830
Desktop,3150000,10679.81149,9700,16000,2907
Desktop,3160000,10712.89413,9700,16000,2777
Desktop,3170000,10744.03604,9800,16000,2941
Desktop,3180000,10823.09898,9600,16300,2940
Desktop,3190000,10562.24192,9600,15800,2815
Desktop,3200000,10968.68966,9700,16100,2871
Desktop,3210000,10563.49841,9700,15900,2827
Desktop,3220000,10661.26159,9600,15700,2718
Desktop,3230000,10898.77984,10000,16100,2698
Desktop,3240000,10907.33431,9800,16000,2728
Desktop,3250000,10878.9923,10000,16300,2727
Desktop,3260000,10709.53986,9700,16000,2747
Desktop,3270000,11019.84845,9900,16300,2580
Desktop,3280000,10779.05568,9800,16400,2640
Desktop,3290000,11043.85284,10100,16300,2691
Desktop,3300000,10861.94423,9900,16100,2546
Desktop,3310000,10937.28728,9800,16400,2548
Desktop,3320000,10927.3929,9800,16500,2647
Desktop,3330000,11051.36699,9800,16200,2605
Desktop,3340000,10774.84729,9900,16300,2580
Desktop,3350000,11025.1217,10100,16500,2572
Desktop,3360000,11243.07365,10200,17000,2417
Desktop,3370000,11132.9351,10000,16600,2496
Desktop,3380000,11102.20753,10100,16500,2496
Desktop,3390000,11311.20508,9900,17200,2482
Desktop,3400000,10926.89522,10000,16700,2510
Desktop,3410000,11046.19896,10000,16500,2498
Desktop,3420000,11232.4646,10200,16700,2486
Desktop,3430000,10934.37964,9900,16300,2397
Desktop,3440000,10971.97307,10000,16500,2451
Desktop,3450000,11090.57682,10000,16700,2493
Desktop,3460000,11356.66653,10200,17000,2402
Desktop,3470000,10976.75729,10000,16400,2435
Desktop,3480000,11108.13428,10200,16400,2398
Desktop,3490000,11316.62533,10300,17400,2274
Desktop,3500000,11249.80724,10200,16900,2293
Desktop,3510000,11234.09987,10100,16600,2273
Desktop,3520000,11209.97705,10200,16700,2396
Desktop,3530000,11243.34639,10200,16900,2298
Desktop,3540000,11112.23064,10200,16400,2298
Desktop,3550000,11094.98166,10100,16400,2290
Desktop,3560000,11138.10549,10300,16700,2294
Desktop,3570000,11219.35976,10300,16700,2371
Desktop,3580000,11385.0867,10300,17000,2353
Desktop,3590000,11015.31612,10200,16500,2227
Desktop,3600000,11556.92387,10500,17000,2233
Desktop,3610000,11190.13664,10300,16500,2159
Desktop,3620000,11600.18029,10600,17700,2263
Desktop,3630000,11107.22703,10200,16500,2242
Desktop,3640000,11449.5697,10400,17100,2310
Desktop,3650000,11144.66835,10400,16100,2174
Desktop,3660000,11580.72112,10500,17200,2173
Desktop,3670000,11595.55972,10600,17000,2160
Desktop,3680000,11368.47249,10400,16800,2163
Desktop,3690000,11479.73288,10600,17000,2190
Desktop,3700000,11489.7132,10500,17000,2099
Desktop,3710000,11522.60897,10600,17000,2097
Desktop,3720000,11515.46382,10500,16900,2128
Desktop,3730000,11732.88431,10500,17300,2135
Desktop,3740000,11557.72789,10700,17200,2058
Desktop,3750000,11826.87066,10700,17100,2103
Desktop,3760000,11742.58955,10600,17300,2010
Desktop,3770000,11513.44526,10700,17200,2046
Desktop,3780000,11666.3304,10600,17200,2043
Desktop,3790000,11707.90755,10600,17600,2012
Desktop,3800000,11557.73283,10800,17100,1980
Desktop,3810000,11590.26644,10700,16800,2023
Desktop,3820000,11554.28493,10700,17100,1997
Desktop,3830000,11635.8122,10800,17100,1885
